"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220621,2022-06-21,102741,CME ,00,102 ,   68858,     109,   41589,     364,   57229,    1322,      30,    6230,   22993,       1,    1657,     972,       0,   65620,   67271,    3238,    1587,   -1073,     -72,     150,       7,   -2102,    -197,       0,     610,    -274,       1,     442,    -395,       0,   -1114,    -708,      41,    -365,  100.0,    0.2,   60.4,    0.5,   83.1,    1.9,    0.0,    9.0,   33.4,    0.0,    2.4,    1.4,    0.0,   95.3,   97.7,    4.7,    2.3,     65,.,      4,.,     12,      4,.,     15,     18,.,      7,      4,      0,     36,     32,    79.4,    68.0,    84.8,    87.6,    79.4,    68.0,    84.8,    87.1,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220614,2022-06-14,102741,CME ,00,102 ,   69931,     181,   41439,     357,   59331,    1519,      30,    5620,   23267,       0,    1215,    1367,       0,   66734,   67979,    3197,    1952,   -2440,       0,   -1936,     357,    3641,       3,       0,   -5663,    -998,    -101,      60,     -35,       0,   -1706,   -2710,    -734,     270,  100.0,    0.3,   59.3,    0.5,   84.8,    2.2,    0.0,    8.0,   33.3,    0.0,    1.7,    2.0,    0.0,   95.4,   97.2,    4.6,    2.8,     64,.,      4,.,     11,      5,.,     12,     20,      0,      5,      6,      0,     30,     36,    81.6,    68.4,    87.6,    87.5,    81.6,    68.4,    87.6,    87.0,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220607,2022-06-07,102741,CME ,00,102 ,   72371,     181,   43375,       0,   55690,    1516,      30,   11283,   24265,     101,    1155,    1402,       0,   68440,   70689,    3931,    1682,   -1775,      12,   -2796,   -5005,    5932,    -264,      -8,   -1910,    7022,    -255,    -100,    -133,       0,   -1334,   -1439,    -441,    -336,  100.0,    0.3,   59.9,    0.0,   77.0,    2.1,    0.0,   15.6,   33.5,    0.1,    1.6,    1.9,    0.0,   94.6,   97.7,    5.4,    2.3,     69,.,      4,      0,     18,      5,.,     18,     13,.,      4,      6,      0,     42,     30,    72.5,    70.8,    81.5,    89.8,    72.5,    70.7,    81.5,    89.6,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220531,2022-05-31,102741,CME ,00,102 ,   74146,     169,   46171,    5005,   49758,    1780,      38,   13193,   17243,     356,    1255,    1535,       0,   69774,   72128,    4372,    2018,   10170,       0,    1502,    4330,    6724,     380,       5,    3256,    7602,   -4247,    -444,     619,       0,    9624,   10191,     546,     -21,  100.0,    0.2,   62.3,    6.8,   67.1,    2.4,    0.1,   17.8,   23.3,    0.5,    1.7,    2.1,    0.0,   94.1,   97.3,    5.9,    2.7,     69,.,      4,.,     14,      5,.,     24,      9,      6,      5,      7,      0,     50,     29,    65.2,    73.0,    75.5,    90.7,    64.2,    71.6,    71.9,    83.9,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220524,2022-05-24,102741,CME ,00,102 ,   63976,     169,   44669,     675,   43034,    1400,      33,    9937,    9641,    4603,    1699,     916,       0,   60150,   61937,    3826,    2039,    7986,       0,       0,     615,    2542,    -634,       0,     914,    3954,    4368,    -841,    -259,       0,    7598,    8044,     388,     -58,  100.0,    0.3,   69.8,    1.1,   67.3,    2.2,    0.1,   15.5,   15.1,    7.2,    2.7,    1.4,    0.0,   94.0,   96.8,    6.0,    3.2,     72,.,      4,.,     15,      4,.,     22,     13,      4,      7,      5,      0,     50,     29,    65.6,    75.6,    75.7,    89.2,    63.5,    72.3,    71.4,    82.4,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220517,2022-05-17,102741,CME ,00,102 ,   55990,     169,   44669,      60,   40492,    2034,      33,    9023,    5687,     235,    2540,    1175,       0,   52552,   53893,    3438,    2097,   -5460,       0,       0,      60,   -9143,    -411,       0,    1759,   -4852,     144,    1352,    -681,       0,   -5828,   -5740,     368,     280,  100.0,    0.3,   79.8,    0.1,   72.3,    3.6,    0.1,   16.1,   10.2,    0.4,    4.5,    2.1,    0.0,   93.9,   96.3,    6.1,    3.7,     68,.,      4,.,     12,      5,.,     20,     11,.,      9,      6,      0,     43,     29,    68.5,    79.9,    76.2,    88.9,    68.5,    79.8,    75.8,    88.8,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220510,2022-05-10,102741,CME ,00,102 ,   61450,     169,   44669,       0,   49635,    2445,      33,    7264,   10539,      91,    1188,    1856,       0,   58380,   59633,    3070,    1817,     -99,       0,       0,       0,   -2022,     -61,       0,    2124,    -119,      65,     -58,    -106,       0,     109,    -221,    -208,     122,  100.0,    0.3,   72.7,    0.0,   80.8,    4.0,    0.1,   11.8,   17.2,    0.1,    1.9,    3.0,    0.0,   95.0,   97.0,    5.0,    3.0,     68,.,      4,      0,     15,      5,.,     17,     13,.,      6,      7,      0,     39,     32,    75.1,    74.7,    83.2,    85.8,    75.1,    74.7,    83.1,    85.8,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220503,2022-05-03,102741,CME ,00,102 ,   61549,     169,   44669,       0,   51657,    2506,      33,    5140,   10658,      26,    1246,    1962,       0,   58271,   59854,    3278,    1695,   -9955,      10,   -6854,   -3009,     857,    -162,      33,   -5228,    1883,   -1384,    -686,    -202,       0,   -9407,   -9695,    -548,    -260,  100.0,    0.3,   72.6,    0.0,   83.9,    4.1,    0.1,    8.4,   17.3,    0.0,    2.0,    3.2,    0.0,   94.7,   97.2,    5.3,    2.8,     65,.,      4,      0,     15,      5,.,     14,     12,.,      6,      8,      0,     37,     30,    77.5,    74.5,    84.1,    84.4,    77.5,    74.5,    84.1,    84.3,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220426,2022-04-26,102741,CME ,00,102 ,   71504,     159,   51523,    3009,   50800,    2668,       0,   10368,    8775,    1410,    1932,    2164,       0,   67678,   69549,    3826,    1955,     951,       0,    -740,    3009,   -1238,     507,       0,   -2114,   -3481,    1352,     468,     210,     -80,    1397,     777,    -446,     174,  100.0,    0.2,   72.1,    4.2,   71.0,    3.7,    0.0,   14.5,   12.3,    2.0,    2.7,    3.0,    0.0,   94.6,   97.3,    5.4,    2.7,     72,.,.,.,     14,      4,      0,     24,      8,.,      9,      8,      0,     51,     26,    66.2,    77.3,    76.3,    87.8,    66.0,    76.6,    72.2,    85.1,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220419,2022-04-19,102741,CME ,00,102 ,   70553,     159,   52263,       0,   52038,    2161,       0,   12482,   12256,      58,    1464,    1954,      80,   66281,   68772,    4272,    1781,    2781,       0,     116,       0,    2388,    -122,       0,     599,    2742,      32,     -44,    -127,      30,    3005,    2671,    -224,     110,  100.0,    0.2,   74.1,    0.0,   73.8,    3.1,    0.0,   17.7,   17.4,    0.1,    2.1,    2.8,    0.1,   93.9,   97.5,    6.1,    2.5,     81,.,      5,      0,     16,      4,      0,     27,     10,.,      9,      9,.,     54,     30,    64.0,    80.7,    71.4,    90.7,    64.0,    80.7,    71.4,    90.6,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220412,2022-04-12,102741,CME ,00,102 ,   67772,     159,   52147,       0,   49650,    2283,       0,   11883,    9514,      26,    1508,    2081,      50,   63276,   66101,    4496,    1671,    1902,       0,     124,       0,    1064,     416,       0,     904,    1571,     -87,     -81,     166,     -75,    1725,    2115,     177,    -213,  100.0,    0.2,   76.9,    0.0,   73.3,    3.4,    0.0,   17.5,   14.0,    0.0,    2.2,    3.1,    0.1,   93.4,   97.5,    6.6,    2.5,     76,.,      4,      0,     15,      4,      0,     27,      9,.,      9,      7,.,     53,     26,    66.2,    81.3,    72.7,    90.3,    66.2,    81.3,    72.7,    90.2,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220405,2022-04-05,102741,CME ,00,102 ,   65870,     159,   52023,       0,   48586,    1867,       0,   10979,    7943,     113,    1589,    1915,     125,   61551,   63986,    4319,    1884,  -13024,     -23,    3282,  -10512,    -534,     201,       0,    -584,   -4751,    -526,    -228,    -673,    -131,  -12538,  -13110,    -486,      86,  100.0,    0.2,   79.0,    0.0,   73.8,    2.8,    0.0,   16.7,   12.1,    0.2,    2.4,    2.9,    0.2,   93.4,   97.1,    6.6,    2.9,     77,.,.,      0,     16,      4,      0,     25,      8,.,     10,      9,.,     55,     26,    65.8,    83.1,    72.1,    90.7,    65.8,    83.1,    72.1,    90.7,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220329,2022-03-29,102741,CME ,00,102 ,   78894,     182,   48741,   10512,   49120,    1666,       0,   11563,   12694,     639,    1817,    2588,     256,   74089,   77096,    4805,    1798,    8062,     -72,     120,   10419,   -2258,   -4249,       0,   -1002,    -418,     522,     243,    1566,     256,    8108,    8216,     -46,    -154,  100.0,    0.2,   61.8,   13.3,   62.3,    2.1,    0.0,   14.7,   16.1,    0.8,    2.3,    3.3,    0.3,   93.9,   97.7,    6.1,    2.3,     77,.,      4,.,     15,.,      0,     21,     10,      5,     11,     10,.,     55,     31,    65.5,    81.9,    73.5,    90.6,    56.5,    68.5,    62.6,    76.8,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220322,2022-03-22,102741,CME ,00,102 ,   70832,     254,   48621,      93,   51378,    5915,       0,   12565,   13112,     117,    1574,    1022,       0,   65981,   68880,    4851,    1952,    1958,    -106,    -500,      93,    1135,     168,       0,     154,    2032,     105,     -35,    -290,       0,    1346,    1608,     612,     350,  100.0,    0.4,   68.6,    0.1,   72.5,    8.4,    0.0,   17.7,   18.5,    0.2,    2.2,    1.4,    0.0,   93.2,   97.2,    6.8,    2.8,     71,.,.,.,     15,      4,      0,     21,     11,.,      8,      6,      0,     47,     27,    64.8,    76.7,    72.0,    91.0,    64.8,    76.7,    72.0,    91.0,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220315,2022-03-15,102741,CME ,00,102 ,   68874,     360,   49121,       0,   50243,    5747,       0,   12411,   11080,      12,    1609,    1312,       0,   64635,   67272,    4239,    1602,     251,      33,   -6006,       0,    2207,    4053,       0,   -1430,    1751,    -114,   -1196,     385,       0,    -500,      69,     751,     182,  100.0,    0.5,   71.3,    0.0,   72.9,    8.3,    0.0,   18.0,   16.1,    0.0,    2.3,    1.9,    0.0,   93.8,   97.7,    6.2,    2.3,     70,.,      4,      0,     15,      4,      0,     21,     12,.,      6,      6,      0,     46,     26,    66.9,    77.1,    75.1,    90.0,    66.9,    77.1,    75.1,    90.0,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220308,2022-03-08,102741,CME ,00,102 ,   68623,     327,   55127,       0,   48036,    1694,       0,   13841,    9329,     126,    2805,     927,       0,   65135,   67203,    3488,    1420,   -1943,    -341,       0,       0,   -5263,     160,    -375,    3078,   -1332,     121,    1027,    -151,       0,   -1753,   -1577,    -190,    -366,  100.0,    0.5,   80.3,    0.0,   70.0,    2.5,    0.0,   20.2,   13.6,    0.2,    4.1,    1.4,    0.0,   94.9,   97.9,    5.1,    2.1,     74,.,.,      0,     15,      5,      0,     22,      8,.,     12,      6,      0,     53,     24,    63.4,    87.0,    71.4,    93.9,    63.4,    87.0,    71.4,    93.9,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220301,2022-03-01,102741,CME ,00,102 ,   70566,     668,   55127,       0,   53299,    1534,     375,   10763,   10661,       5,    1778,    1078,       0,   66888,   68780,    3678,    1786,  -24011,     302,   37277,  -26348,    7726,     275,       0,   -4185,  -35002,     -17,    -626,     -77,       0,  -23148,  -23892,    -863,    -119,  100.0,    0.9,   78.1,    0.0,   75.5,    2.2,    0.5,   15.3,   15.1,    0.0,    2.5,    1.5,    0.0,   94.8,   97.5,    5.2,    2.5,     64,.,.,      0,     15,      4,.,     16,      9,.,      9,      5,      0,     45,     21,    67.7,    84.2,    76.1,    92.8,    67.7,    84.2,    76.1,    92.8,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220222,2022-02-22,102741,CME ,00,102 ,   94577,     366,   17850,   26348,   45573,    1259,     375,   14948,   45663,      22,    2404,    1155,       0,   90036,   92672,    4541,    1905,   27289,     122,     100,   26348,      92,      54,     100,    1026,    1042,    -732,    -113,     102,       0,   26843,   27014,     446,     275,  100.0,    0.4,   18.9,   27.9,   48.2,    1.3,    0.4,   15.8,   48.3,    0.0,    2.5,    1.2,    0.0,   95.2,   98.0,    4.8,    2.0,     73,.,.,.,     14,.,.,     21,     12,.,      9,      8,      0,     51,     28,    65.2,    79.0,    75.5,    92.3,    44.0,    52.8,    52.2,    65.5,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220215,2022-02-15,102741,CME ,00,102 ,   67288,     244,   17750,       0,   45481,    1205,     275,   13922,   44621,     754,    2517,    1053,       0,   63193,   65658,    4095,    1630,    3005,     -32,       0,       0,    2458,      62,       0,     -79,    2433,     435,    -206,     -75,       0,    2576,    2855,     429,     150,  100.0,    0.4,   26.4,    0.0,   67.6,    1.8,    0.4,   20.7,   66.3,    1.1,    3.7,    1.6,    0.0,   93.9,   97.6,    6.1,    2.4,     69,.,.,      0,     13,.,.,     21,     14,.,      7,      7,      0,     45,     28,    63.5,    71.3,    73.2,    90.5,    63.5,    70.6,    73.2,    89.8,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220208,2022-02-08,102741,CME ,00,102 ,   64283,     276,   17750,       0,   43023,    1143,     275,   14001,   42188,     319,    2723,    1128,       0,   60617,   62803,    3666,    1480,  -11892,   -6699,   17750,  -17750,   12508,     124,      75,    1272,  -10876,    -929,     527,     -90,       0,  -10996,  -11696,    -896,    -196,  100.0,    0.4,   27.6,    0.0,   66.9,    1.8,    0.4,   21.8,   65.6,    0.5,    4.2,    1.8,    0.0,   94.3,   97.7,    5.7,    2.3,     71,.,.,      0,     13,.,.,     20,     14,.,      9,      8,      0,     46,     28,    63.0,    70.3,    73.6,    89.4,    63.0,    70.3,    73.6,    89.1,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220201,2022-02-01,102741,CME ,00,102 ,   76175,    6975,       0,   17750,   30515,    1019,     200,   12729,   53064,    1248,    2196,    1218,       0,   71613,   74499,    4562,    1676,   29518,      26,    -121,   13358,   14128,   -1089,     181,    1690,   17309,     -66,    -809,     464,     -11,   28497,   30025,    1021,    -507,  100.0,    9.2,    0.0,   23.3,   40.1,    1.3,    0.3,   16.7,   69.7,    1.6,    2.9,    1.6,    0.0,   94.0,   97.8,    6.0,    2.2,     67,.,      0,.,     14,.,.,     16,     16,      5,      6,      9,      0,     43,     32,    61.1,    79.3,    75.7,    90.6,    40.7,    61.9,    52.4,    67.9,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220125,2022-01-25,102741,CME ,00,102 ,   46657,    6949,     121,    4392,   16387,    2108,      19,   11039,   35755,    1314,    3005,     754,      11,   43116,   44474,    3541,    2183,   14559,     -80,     121,    3575,    8057,    1047,    -261,    4044,   12531,    -969,    -518,   -1448,      11,   13859,   14607,     700,     -48,  100.0,   14.9,    0.3,    9.4,   35.1,    4.5,    0.0,   23.7,   76.6,    2.8,    6.4,    1.6,    0.0,   92.4,   95.3,    7.6,    4.7,     60,.,.,.,     11,.,.,     14,     16,.,      7,      5,.,     38,     27,    51.4,    76.3,    66.8,    86.2,    41.9,    67.8,    57.4,    75.2,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220118,2022-01-18,102741,CME ,00,102 ,   32098,    7029,       0,     817,    8330,    1061,     280,    6995,   23224,    2283,    3523,    2202,       0,   29257,   29867,    2841,    2231,    1011,     -50,       0,   -1100,    2878,    -877,     -43,    1589,    5368,   -1310,   -1073,    -501,       0,     891,    1537,     120,    -526,  100.0,   21.9,    0.0,    2.5,   26.0,    3.3,    0.9,   21.8,   72.4,    7.1,   11.0,    6.9,    0.0,   91.1,   93.0,    8.9,    7.0,     64,      4,      0,.,      8,      4,.,     14,     21,      4,      8,      5,      0,     38,     32,    41.3,    60.1,    61.0,    73.5,    38.1,    55.8,    55.3,    66.6,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220111,2022-01-11,102741,CME ,00,102 ,   31087,    7079,       0,    1917,    5452,    1938,     323,    5406,   17856,    3593,    4596,    2703,       0,   28366,   28330,    2721,    2757,    2869,     226,       0,      -7,   -1176,    -119,     323,    1192,    -586,    3593,   -1346,    -227,       0,    2805,    2977,      64,    -108,  100.0,   22.8,    0.0,    6.2,   17.5,    6.2,    1.0,   17.4,   57.4,   11.6,   14.8,    8.7,    0.0,   91.2,   91.1,    8.8,    8.9,     58,      4,      0,.,      7,      4,.,     12,     17,.,      8,      6,      0,     33,     31,    49.0,    49.5,    67.7,    68.2,    35.6,    43.0,    53.0,    56.9,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE",220104,2022-01-04,102741,CME ,00,102 ,   28218,    6853,       0,    1924,    6628,    2057,       0,    4214,   18442,       0,    5942,    2930,       0,   25561,   25353,    2657,    2865,   -9166,   -2240,   -3260,    -495,    2365,    -454,    -154,   -5156,    -802,   -3425,    -176,    -692,       0,   -9281,   -9282,     115,     116,  100.0,   24.3,    0.0,    6.8,   23.5,    7.3,    0.0,   14.9,   65.4,    0.0,   21.1,   10.4,    0.0,   90.6,   89.8,    9.4,   10.2,     54,.,      0,.,      7,      4,      0,      8,     17,      0,     10,      5,      0,     28,     27,    48.2,    44.7,    68.2,    64.5,    41.4,    44.2,    61.4,    61.6,"(CONTRACTS OF BRL 100,000)","102741","CME ","102 ","F15","FutOnly"
"NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE",221227,2022-12-27,112741,CME ,00,112 ,   33552,    5966,    7064,      20,   13727,    9802,     227,    9013,   12778,     375,     150,     577,      13,   29491,   30856,    4061,    2696,    4508,    1436,     345,      20,    -209,    2290,     112,    2956,    1671,     124,     150,     -29,      12,    4601,    4545,     -93,     -37,  100.0,   17.8,   21.1,    0.1,   40.9,   29.2,    0.7,   26.9,   38.1,    1.1,    0.4,    1.7,    0.0,   87.9,   92.0,   12.1,    8.0,     75,      6,      4,.,     18,     14,      6,     11,     18,.,.,.,.,     43,     44,    35.5,    41.2,    55.2,    59.3,    35.4,    41.1,    55.1,    59.1,"(CONTRACTS OF NZD 100,000)","112741","CME ","112 ","F15","FutOnly"
"NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE",221220,2022-12-20,112741,CME ,00,112 ,   29044,    4530,    6719,       0,   13936,    7512,     115,    6057,   11107,     251,       0,     606,       1,   24890,   26311,    4154,    2733,  -26250,  -13902,    -624,   -4650,    2894,   -3941,      18,   -7832,  -14052,   -1636,       0,    -212,       1,  -25107,  -25096,   -1143,   -1154,  100.0,   15.6,   23.1,    0.0,   48.0,   25.9,    0.4,   20.9,   38.2,    0.9,    0.0,    2.1,    0.0,   85.7,   90.6,   14.3,    9.4,     67,      5,.,      0,     18,     11,      4,     16,     11,.,      0,.,.,     43,     31,    37.0,    45.1,    51.5,    64.2,    37.0,    44.9,    51.5,    63.6,"(CONTRACTS OF NZD 100,000)","112741","CME ","112 ","F15","FutOnly"
"NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE",221213,2022-12-13,112741,CME ,00,112 ,   55294,   18432,    7343,    4650,   11042,   11453,      97,   13889,   25159,    1887,       0,     818,       0,   49997,   51407,    5297,    3887,   12340,     106,    2600,    4111,    3044,    -727,     -11,    1806,    4082,    1552,    -155,      59,     -13,   10440,   11653,    1900,     687,  100.0,   33.3,   13.3,    8.4,   20.0,   20.7,    0.2,   25.1,   45.5,    3.4,    0.0,    1.5,    0.0,   90.4,   93.0,    9.6,    7.0,     86,      8,      5,      5,     15,     14,      4,     21,     17,      6,      0,      5,      0,     51,     50,    49.6,    35.4,    61.5,    58.6,    42.3,    35.4,    54.2,    55.0,"(CONTRACTS OF NZD 100,000)","112741","CME ","112 ","F15","FutOnly"
"NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE",221206,2022-12-06,112741,CME ,00,112 ,   42954,   18326,    4743,     539,    7998,   12180,     108,   12083,   21077,     335,     155,     759,      13,   39557,   39754,    3397,    3200,   -3226,      45,     551,    -130,     695,   -2322,    -123,   -2323,    -388,    -909,    -187,     173,       0,   -2932,   -3148,    -294,     -78,  100.0,   42.7,   11.0,    1.3,   18.6,   28.4,    0.3,   28.1,   49.1,    0.8,    0.4,    1.8,    0.0,   92.1,   92.6,    7.9,    7.4,     87,      8,      5,.,     13,     16,      4,     20,     19,      5,.,      5,.,     51,     49,    55.4,    36.7,    67.0,    58.8,    55.4,    36.7,    66.9,    58.1,"(CONTRACTS OF NZD 100,000)","112741","CME ","112 ","F15","FutOnly"
"NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE",221129,2022-11-29,112741,CME ,00,112 ,   46180,   18281,    4192,     669,    7303,   14502,     231,   14406,   21465,    1244,     342,     586,      13,   42489,   42902,    3691,    3278,    3591,   -1085,    1189,     639,    2312,   -2074,     -17,     722,    4423,     295,     266,    -130,     -29,    3103,    4296,     488,    -705,  100.0,   39.6,    9.1,    1.4,   15.8,   31.4,    0.5,   31.2,   46.5,    2.7,    0.7,    1.3,    0.0,   92.0,   92.9,    8.0,    7.1,     88,      7,      5,.,     13,     16,      5,     21,     20,      5,.,      4,.,     50,     51,    54.3,    33.5,    68.6,    53.7,    54.2,    33.3,    68.5,    51.9,"(CONTRACTS OF NZD 100,000)","112741","CME ","112 ","F15","FutOnly"
"NZ DOLLAR - CHICAGO MERCANTILE EXCHANGE",221122,2022-11-22,112741,CME ,00,112 ,   42589,   19366,    3003,      30,    4991,   16576,     248,   13684,   17042,     949,      76,     716,      42,   39386,   38606,    3203,    3983,       0,   -1527,    1573,     -51,    1267,   -2710,     -23,    -492,     719,     728,    -416,     223,      -9,    -523,     450,     523,    -450,  100.0,   45.5,    7.1,    0.1,   11.7,   38.9,    0.6,   32.1,   40.0,    2.2,    0.2,    1.7,    0.1,   92.5,   90.6,    7.5,    9.4,     84,      8,      4,.,      9,     19,      5,     18,     20,      4,.,      4,.,     44,     52,    57.0,    30.7,    69.0,    49.8,    56.9,    29.0,    68.8,    48.1,"(CONTRACTS OF NZD 100,000)","112741","CME ","112 ","F15","FutOnly"
