"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230627,2023-06-27,096742,CME ,00,096 ,  276357,    2614,   69108,   10910,   83523,   64833,    8433,   76152,   41041,   53147,    1430,    3269,    1019,  237228,  251761,   39129,   24596,    7306,     194,    3706,    3346,    4440,   -3750,     231,   -3139,    3871,     777,    -100,      21,      26,    5775,    8228,    1531,    -922,  100.0,    0.9,   25.0,    3.9,   30.2,   23.5,    3.1,   27.6,   14.9,   19.2,    0.5,    1.2,    0.4,   85.8,   91.1,   14.2,    8.9,    139,.,     13,      5,     20,     28,     14,     40,     26,     19,.,      6,.,     88,     90,    24.8,    23.9,    41.2,    36.7,    23.5,    20.5,    34.2,    29.9,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230620,2023-06-20,096742,CME ,00,096 ,  269051,    2420,   65402,    7565,   79083,   68583,    8202,   79290,   37170,   52370,    1530,    3248,     994,  231454,  243533,   37597,   25518,  -58703,  -53667,   -5112,  -25804,   12200,    2953,    1369,   17642,  -21387,   -3947,       3,     126,      79,  -52124,  -51722,   -6579,   -6981,  100.0,    0.9,   24.3,    2.8,   29.4,   25.5,    3.0,   29.5,   13.8,   19.5,    0.6,    1.2,    0.4,   86.0,   90.5,   14.0,    9.5,    137,.,     11,      5,     22,     27,     13,     38,     27,     23,.,      6,.,     88,     91,    24.2,    24.3,    40.8,    37.0,    22.7,    21.9,    33.8,    32.0,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230613,2023-06-13,096742,CME ,00,096 ,  327754,   56087,   70514,   33369,   66882,   65629,    6834,   61648,   58557,   56317,    1527,    3122,     914,  283578,  295255,   44176,   32499,   48697,     710,    5899,   19956,    4893,   -1118,     563,    5410,   16433,    3214,    -233,    -296,     191,   34706,   44843,   13991,    3854,  100.0,   17.1,   21.5,   10.2,   20.4,   20.0,    2.1,   18.8,   17.9,   17.2,    0.5,    1.0,    0.3,   86.5,   90.1,   13.5,    9.9,    135,      4,     10,     10,     21,     28,     15,     32,     30,     29,.,      6,.,     91,     99,    36.0,    22.3,    48.9,    34.8,    29.5,    19.3,    39.5,    29.0,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230606,2023-06-06,096742,CME ,00,096 ,  279057,   55377,   64615,   13413,   61989,   66747,    6270,   56237,   42124,   53102,    1760,    3418,     723,  248872,  250412,   30185,   28645,     584,    -406,    -900,    3193,    1292,    7425,    -495,   -4019,  -10028,    1573,     -45,      20,      48,    1142,     837,    -558,    -253,  100.0,   19.8,   23.2,    4.8,   22.2,   23.9,    2.2,   20.2,   15.1,   19.0,    0.6,    1.2,    0.3,   89.2,   89.7,   10.8,   10.3,    130,      4,     11,      7,     21,     25,     14,     32,     27,     29,.,      6,.,     83,     98,    36.8,    22.7,    51.2,    35.6,    34.9,    20.2,    44.9,    30.6,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230530,2023-05-30,096742,CME ,00,096 ,  278473,   55783,   65515,   10220,   60697,   59322,    6765,   60256,   52152,   51529,    1805,    3397,     675,  247729,  249575,   30744,   28898,    7795,     358,    1323,    1047,   -7270,   -2546,     193,    8110,   -1232,    6823,      30,     509,     -30,    9261,    6088,   -1466,    1707,  100.0,   20.0,   23.5,    3.7,   21.8,   21.3,    2.4,   21.6,   18.7,   18.5,    0.6,    1.2,    0.2,   89.0,   89.6,   11.0,   10.4,    126,      4,     10,      6,     18,     27,     14,     27,     30,     27,.,      6,.,     79,     95,    37.1,    22.4,    50.9,    35.9,    34.8,    20.0,    44.7,    31.7,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230523,2023-05-23,096742,CME ,00,096 ,  270678,   55425,   64192,    9172,   67967,   61868,    6572,   52146,   53384,   44706,    1775,    2888,     705,  238469,  243487,   32209,   27191,  -10538,     534,    1496,    -131,   -7932,   -5817,     420,   -2747,   -4717,   -1092,      85,    -894,     -60,  -10923,  -10796,     385,     258,  100.0,   20.5,   23.7,    3.4,   25.1,   22.9,    2.4,   19.3,   19.7,   16.5,    0.7,    1.1,    0.3,   88.1,   90.0,   11.9,   10.0,    126,.,     11,      6,     17,     27,     16,     28,     30,     24,.,      5,.,     76,     97,    38.3,    22.9,    51.6,    35.2,    36.0,    20.7,    46.9,    31.5,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230516,2023-05-16,096742,CME ,00,096 ,  281216,   54891,   62696,    9303,   75899,   67685,    6153,   54893,   58100,   45798,    1690,    3782,     765,  249392,  254283,   31824,   26933,    4787,    -186,    3348,    -540,     124,     376,     -19,    3281,    -370,    2382,     155,   -1619,    -109,    5087,    3448,    -300,    1339,  100.0,   19.5,   22.3,    3.3,   27.0,   24.1,    2.2,   19.5,   20.7,   16.3,    0.6,    1.3,    0.3,   88.7,   90.4,   11.3,    9.6,    132,.,     11,      7,     18,     27,     17,     29,     33,     21,.,      6,.,     79,     99,    36.5,    22.0,    50.4,    34.1,    34.3,    19.8,    46.5,    30.0,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230509,2023-05-09,096742,CME ,00,096 ,  276429,   55077,   59348,    9842,   75774,   67309,    6172,   51613,   58471,   43417,    1535,    5401,     875,  244305,  250835,   32124,   25594,    7838,   -2304,    5121,   -2131,   11445,   -3543,    -399,     382,   10649,    -829,     138,     348,    -347,    5955,    8869,    1883,   -1031,  100.0,   19.9,   21.5,    3.6,   27.4,   24.3,    2.2,   18.7,   21.2,   15.7,    0.6,    2.0,    0.3,   88.4,   90.7,   11.6,    9.3,    133,.,     11,      7,     17,     30,     16,     29,     30,     22,.,      8,.,     81,     98,    36.8,    21.3,    51.1,    32.8,    34.5,    18.8,    47.0,    28.9,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230502,2023-05-02,096742,CME ,00,096 ,  268591,   57381,   54227,   11974,   64329,   70853,    6571,   51231,   47821,   44246,    1398,    5054,    1221,  238350,  241966,   30241,   26625,    3586,    2324,   -6760,     201,    4085,    6785,   -1270,   -4085,    1702,    4268,     -60,     -38,     234,    5697,    5123,   -2111,   -1537,  100.0,   21.4,   20.2,    4.5,   24.0,   26.4,    2.4,   19.1,   17.8,   16.5,    0.5,    1.9,    0.5,   88.7,   90.1,   11.3,    9.9,    129,      4,     11,      6,     19,     30,     15,     24,     30,     22,.,      7,.,     77,     97,    37.3,    22.2,    50.4,    34.3,    34.9,    19.3,    44.6,    30.3,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230425,2023-04-25,096742,CME ,00,096 ,  265005,   55057,   60987,   11773,   60244,   64067,    7841,   55316,   46119,   39978,    1458,    5092,     987,  232653,  236843,   32352,   28162,   11300,     692,   -1280,     893,   -1066,    3324,    1562,    4250,   -2401,    4314,       5,    2289,      15,   10665,    8716,     635,    2584,  100.0,   20.8,   23.0,    4.4,   22.7,   24.2,    3.0,   20.9,   17.4,   15.1,    0.6,    1.9,    0.4,   87.8,   89.4,   12.2,   10.6,    122,.,     10,      6,     22,     22,     14,     29,     26,     21,.,      5,.,     77,     87,    36.8,    24.9,    49.6,    36.5,    34.4,    22.0,    44.2,    32.2,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230418,2023-04-18,096742,CME ,00,096 ,  253705,   54365,   62267,   10880,   61310,   60743,    6278,   51066,   48520,   35664,    1453,    2803,     972,  221988,  228127,   31717,   25578,     388,   -1048,    4646,     299,    4110,    1395,     129,   -2114,   -6112,    -624,     -52,     -43,      75,     776,    -234,    -388,     622,  100.0,   21.4,   24.5,    4.3,   24.2,   23.9,    2.5,   20.1,   19.1,   14.1,    0.6,    1.1,    0.4,   87.5,   89.9,   12.5,   10.1,    123,.,     10,      6,     22,     23,     14,     26,     30,     20,.,      5,.,     76,     88,    38.0,    25.9,    50.6,    38.2,    35.4,    22.9,    45.5,    33.5,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230411,2023-04-11,096742,CME ,00,096 ,  253317,   55413,   57621,   10581,   57200,   59348,    6149,   53180,   54632,   36288,    1505,    2846,     896,  221211,  228362,   32106,   24955,  -10755,   -5015,    6461,   -5938,    9711,     132,   -2459,     -12,     797,   -6731,      73,    -357,    -348,  -10719,   -8443,     -36,   -2312,  100.0,   21.9,   22.7,    4.2,   22.6,   23.4,    2.4,   21.0,   21.6,   14.3,    0.6,    1.1,    0.4,   87.3,   90.1,   12.7,    9.9,    130,      4,      9,      5,     22,     27,     16,     28,     31,     21,.,      5,.,     82,     91,    37.9,    24.5,    49.9,    36.3,    34.7,    21.7,    43.9,    32.1,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230404,2023-04-04,096742,CME ,00,096 ,  264072,   60428,   51160,   16518,   47488,   59216,    8608,   53192,   53835,   43019,    1432,    3203,    1245,  231930,  236805,   32142,   27267,   30307,   -3676,   17094,    1245,   10391,   -9183,    1263,   11485,   14576,    4507,    -238,    -426,     509,   25485,   29584,    4822,     723,  100.0,   22.9,   19.4,    6.3,   18.0,   22.4,    3.3,   20.1,   20.4,   16.3,    0.5,    1.2,    0.5,   87.8,   89.7,   12.2,   10.3,    129,      6,      8,      5,     18,     28,     15,     29,     29,     21,.,      8,.,     79,     94,    36.3,    23.8,    49.8,    35.9,    33.3,    19.9,    41.7,    29.0,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230328,2023-03-28,096742,CME ,00,096 ,  233765,   64104,   34066,   15273,   37098,   68400,    7345,   41708,   39259,   38512,    1670,    3629,     736,  206445,  207221,   27320,   26544,   13081,   -2132,   10646,    2387,    5240,   -3847,    1167,    -445,    1328,    3839,    -160,     694,     142,   10038,   16356,    3043,   -3275,  100.0,   27.4,   14.6,    6.5,   15.9,   29.3,    3.1,   17.8,   16.8,   16.5,    0.7,    1.6,    0.3,   88.3,   88.6,   11.7,   11.4,    118,      7,      7,      7,     15,     31,     16,     20,     27,     20,.,      7,.,     67,     96,    40.7,    21.4,    54.9,    33.5,    37.6,    17.5,    46.3,    27.3,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230321,2023-03-21,096742,CME ,00,096 ,  220684,   66236,   23421,   12887,   31858,   72247,    6178,   42153,   37931,   34673,    1829,    2935,     594,  196407,  190865,   24277,   29819,   -3182,   -3600,    4291,    1297,     858,   -7384,     322,   -3314,     160,     488,     -48,      -0,      40,   -3957,    -786,     775,   -2396,  100.0,   30.0,   10.6,    5.8,   14.4,   32.7,    2.8,   19.1,   17.2,   15.7,    0.8,    1.3,    0.3,   89.0,   86.5,   11.0,   13.5,    118,      9,      5,      7,     13,     33,     16,     19,     29,     19,.,      6,.,     66,     96,    43.1,    20.5,    56.6,    32.1,    40.4,    17.0,    49.4,    26.5,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230314,2023-03-14,096742,CME ,00,096 ,  223866,   69837,   19129,   11589,   30999,   79631,    5856,   45466,   37771,   34185,    1877,    2935,     553,  200364,  191651,   23502,   32215,  -29317,   -9103,   -7604,    1147,    -512,   -2789,     256,  -25303,  -16882,    4257,    -384,       1,     313,  -29330,  -21302,      13,   -8015,  100.0,   31.2,    8.5,    5.2,   13.8,   35.6,    2.6,   20.3,   16.9,   15.3,    0.8,    1.3,    0.2,   89.5,   85.6,   10.5,   14.4,    113,      8,      4,      5,     12,     33,     17,     21,     25,     18,.,      6,.,     65,     90,    43.1,    20.4,    56.7,    32.5,    40.4,    16.8,    49.7,    26.6,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230307,2023-03-07,096742,CME ,00,096 ,  253183,   78939,   26733,   10442,   31512,   82420,    5600,   70769,   54653,   29929,    2262,    2934,     241,  229694,  212952,   23489,   40231,    3563,    1906,    1937,   -2504,     558,   -1954,    -425,    9262,    8198,   -6547,    -194,    -538,     232,    2287,   -1601,    1276,    5164,  100.0,   31.2,   10.6,    4.1,   12.4,   32.6,    2.2,   28.0,   21.6,   11.8,    0.9,    1.2,    0.1,   90.7,   84.1,    9.3,   15.9,    134,      9,      7,      7,     17,     33,     17,     25,     34,     21,      4,      5,.,     73,    108,    39.7,    17.9,    54.1,    29.9,    37.4,    15.9,    49.8,    25.9,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230228,2023-02-28,096742,CME ,00,096 ,  249620,   77034,   24797,   12947,   30954,   84375,    6025,   61508,   46454,   36475,    2455,    3472,       9,  227407,  214554,   22213,   35066,   -1097,    1137,    -485,    -563,    1020,     766,    -654,   -3614,    2163,     684,     207,      -5,    -187,   -1970,    1718,     873,   -2815,  100.0,   30.9,    9.9,    5.2,   12.4,   33.8,    2.4,   24.6,   18.6,   14.6,    1.0,    1.4,    0.0,   91.1,   86.0,    8.9,   14.0,    130,     10,      4,      7,     13,     37,     17,     28,     30,     22,      4,      4,.,     77,    101,    40.7,    18.1,    55.9,    29.9,    38.3,    15.2,    49.4,    24.7,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230221,2023-02-21,096742,CME ,00,096 ,  250717,   75896,   25281,   13510,   29933,   83609,    6679,   65122,   44291,   35792,    2248,    3477,     197,  229377,  212835,   21340,   37882,   10545,    5883,   -2577,    1369,    -264,    4792,    -103,     708,    2011,    3728,      79,       0,    -213,   11187,    9008,    -642,    1537,  100.0,   30.3,   10.1,    5.4,   11.9,   33.3,    2.7,   26.0,   17.7,   14.3,    0.9,    1.4,    0.1,   91.5,   84.9,    8.5,   15.1,    128,      9,      4,      7,     11,     40,     18,     27,     29,     22,      4,      4,.,     72,    105,    40.1,    18.0,    55.1,    29.8,    37.7,    15.1,    49.3,    24.7,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230214,2023-02-14,096742,CME ,00,096 ,  240172,   70013,   27858,   12141,   30197,   78817,    6782,   64413,   42280,   32064,    2170,    3477,     409,  218190,  203828,   21982,   36344,    3549,    4956,   -3765,    2505,   -2483,    8138,     637,   -5347,   -4446,    2775,    -137,      -8,     141,    3048,    5978,     501,   -2429,  100.0,   29.2,   11.6,    5.1,   12.6,   32.8,    2.8,   26.8,   17.6,   13.4,    0.9,    1.4,    0.2,   90.8,   84.9,    9.2,   15.1,    130,      9,      4,      7,     12,     37,     19,     30,     29,     21,      4,      4,.,     77,    102,    41.2,    19.4,    55.1,    31.3,    38.7,    16.6,    48.9,    26.3,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230207,2023-02-07,096742,CME ,00,096 ,  236623,   65057,   31623,    9636,   32680,   70679,    6145,   69760,   46726,   29288,    2307,    3484,     268,  215141,  197850,   21482,   38773,    1554,   10109,    1829,   -2682,   -9742,    5202,    -760,   16225,    3780,   -7731,    1201,      -2,    -771,    5848,   -1136,   -4294,    2690,  100.0,   27.5,   13.4,    4.1,   13.8,   29.9,    2.6,   29.5,   19.7,   12.4,    1.0,    1.5,    0.1,   90.9,   83.6,    9.1,   16.4,    131,      9,      4,      7,     15,     33,     18,     29,     34,     22,.,      4,.,     76,    103,    41.5,    20.8,    53.5,    32.1,    39.0,    18.4,    47.7,    27.3,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230131,2023-01-31,096742,CME ,00,096 ,  235069,   54948,   29795,   12318,   42422,   65477,    6905,   53536,   42946,   37020,    1105,    3487,    1040,  209293,  198986,   25776,   36083,    4314,    1325,    -942,    1039,    -377,     827,     646,    2276,   -4220,    1149,     -50,     963,      51,    6060,    -486,   -1746,    4800,  100.0,   23.4,   12.7,    5.2,   18.0,   27.9,    2.9,   22.8,   18.3,   15.7,    0.5,    1.5,    0.4,   89.0,   84.7,   11.0,   15.3,    121,      7,      6,      7,     14,     30,     18,     28,     28,     19,.,      5,.,     73,     93,    41.8,    19.5,    55.3,    31.6,    39.3,    17.0,    48.3,    26.0,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230124,2023-01-24,096742,CME ,00,096 ,  230755,   53623,   30737,   11279,   42800,   64650,    6259,   51260,   47166,   35870,    1155,    2523,     989,  203234,  199472,   27521,   31283,   -5645,   -2157,    1297,     444,    -932,   -5258,     533,   -7207,   -3145,    1378,    -146,     -60,     155,   -7931,   -4655,    2286,    -990,  100.0,   23.2,   13.3,    4.9,   18.5,   28.0,    2.7,   22.2,   20.4,   15.5,    0.5,    1.1,    0.4,   88.1,   86.4,   11.9,   13.6,    124,      7,      6,      7,     13,     32,     17,     22,     35,     22,.,      5,.,     71,    100,    42.5,    19.7,    56.7,    31.9,    39.9,    17.6,    49.8,    27.2,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230117,2023-01-17,096742,CME ,00,096 ,  236400,   55780,   29439,   10835,   43732,   69908,    5726,   58466,   50311,   34492,    1301,    2583,     834,  211165,  204127,   25235,   32273,     965,    5068,   -2561,     342,  -11360,    2105,    -164,    3196,   -4175,    3740,    -614,     -18,     180,     389,    -550,     576,    1515,  100.0,   23.6,   12.5,    4.6,   18.5,   29.6,    2.4,   24.7,   21.3,   14.6,    0.6,    1.1,    0.4,   89.3,   86.3,   10.7,   13.7,    127,      7,      5,      7,     13,     33,     16,     30,     30,     21,.,      5,.,     73,     99,    41.3,    18.8,    54.0,    30.7,    38.8,    16.8,    47.9,    25.5,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230110,2023-01-10,096742,CME ,00,096 ,  235435,   50712,   32000,   10493,   55091,   67803,    5890,   55270,   54487,   30752,    1915,    2601,     654,  210776,  204677,   24659,   30758,   -2470,   -4078,   -2392,    3156,    5463,    5451,    -674,   -8428,   -6114,     780,     165,    -383,     169,   -3446,      -7,     976,   -2463,  100.0,   21.5,   13.6,    4.5,   23.4,   28.8,    2.5,   23.5,   23.1,   13.1,    0.8,    1.1,    0.3,   89.5,   86.9,   10.5,   13.1,    129,      7,      6,      6,     13,     35,     16,     25,     34,     17,.,      5,.,     69,    101,    41.1,    19.5,    55.5,    30.9,    38.7,    17.5,    50.7,    26.2,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"BRITISH POUND - CHICAGO MERCANTILE EXCHANGE",230103,2023-01-03,096742,CME ,00,096 ,  237905,   54790,   34392,    7337,   49628,   62352,    6563,   63698,   60601,   29971,    1750,    2983,     485,  214222,  204684,   23683,   33221,   12624,    2468,   -1957,    -486,    1008,    3070,   -1109,    7132,    8722,    2868,     192,      74,    -192,   11882,   10990,     742,    1634,  100.0,   23.0,   14.5,    3.1,   20.9,   26.2,    2.8,   26.8,   25.5,   12.6,    0.7,    1.3,    0.2,   90.0,   86.0,   10.0,   14.0,    131,      6,      7,      6,     17,     30,     16,     23,     40,     18,.,      5,.,     68,    104,    40.3,    18.6,    53.5,    30.0,    37.9,    17.4,    48.9,    25.9,"(CONTRACTS OF GBP 62,500)","096742","CME ","096 ","F10","Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",230711,2023-07-11,097741,CME ,00,097 ,  271475,  104438,    6841,    5665,   73703,  103216,    6064,   25692,   83791,   18161,    6466,    5073,      16,  240205,  228827,   31270,   42648,  -15919,   -2298,    2185,     645,     995,  -12141,    -294,  -10436,   -6854,   -3110,    -270,     919,      -0,  -14768,  -18649,   -1151,    2730,  100.0,   38.5,    2.5,    2.1,   27.1,   38.0,    2.2,    9.5,   30.9,    6.7,    2.4,    1.9,    0.0,   88.5,   84.3,   11.5,   15.7,    152,     14,      6,      8,     23,     31,     18,     21,     41,     19,      7,      9,.,     88,    111,    37.4,    25.2,    51.2,    38.1,    37.4,    25.0,    50.5,    37.4,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",230703,2023-07-03,097741,CME ,00,097 ,  287394,  106736,    4656,    5020,   72707,  115357,    6358,   36128,   90645,   21271,    6736,    4153,      16,  254972,  247476,   32422,   39918,   14546,    3357,     -87,       6,    2298,    7388,     338,    5570,    6456,    1685,     236,    -654,       1,   13489,   15133,    1057,    -587,  100.0,   37.1,    1.6,    1.7,   25.3,   40.1,    2.2,   12.6,   31.5,    7.4,    2.3,    1.4,    0.0,   88.7,   86.1,   11.3,   13.9,    155,     15,      5,      9,     26,     28,     19,     28,     39,     22,      7,      7,.,     95,    112,    35.8,    27.5,    49.5,    40.6,    35.7,    27.2,    48.1,    40.0,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",230627,2023-06-27,097741,CME ,00,097 ,  272848,  103379,    4743,    5014,   70409,  107969,    6021,   30558,   84188,   19586,    6500,    4807,      15,  241483,  232344,   31365,   40504,   16857,    2271,   -3534,    1376,    2299,    7385,    1097,    6170,    6984,    2203,     332,     674,      -4,   15745,   16183,    1112,     674,  100.0,   37.9,    1.7,    1.8,   25.8,   39.6,    2.2,   11.2,   30.9,    7.2,    2.4,    1.8,    0.0,   88.5,   85.2,   11.5,   14.8,    152,     13,      6,      7,     26,     26,     19,     27,     38,     20,      8,      8,.,     93,    108,    37.8,    27.5,    50.4,    40.3,    37.7,    27.2,    49.7,    39.4,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",230620,2023-06-20,097741,CME ,00,097 ,  255991,  101108,    8277,    3638,   68111,  100584,    4923,   24389,   77204,   17383,    6168,    4132,      19,  225738,  216161,   30253,   39830,  -12543,    6965,    3577,   -7977,    1368,    4278,     558,   -7910,   -4112,   -2119,    -598,     -41,      -4,   -9718,   -5841,   -2825,   -6702,  100.0,   39.5,    3.2,    1.4,   26.6,   39.3,    1.9,    9.5,   30.2,    6.8,    2.4,    1.6,    0.0,   88.2,   84.4,   11.8,   15.6,    146,     10,      7,      7,     25,     27,     19,     24,     38,     16,      7,      8,.,     83,    107,    39.9,    26.7,    51.7,    40.3,    39.8,    26.5,    51.2,    39.8,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","Combined"
"JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE",230613,2023-06-13,097741,CME ,00,097 ,  268534,   94143,    4700,   11615,   66742,   96306,    4366,   32299,   81316,   19502,    6766,    4173,      24,  235456,  222002,   33078,   46532,   -5863,   -1039,     -80,    3565,    -592,   -1531,   -2369,    2980,   -3180,   -8689,     358,    1202,     -51,   -5836,  -11132,     -27,    5269,  100.0,   35.1,    1.8,    4.3,   24.9,   35.9,    1.6,   12.0,   30.3,    7.3,    2.5,    1.6,    0.0,   87.7,   82.7,   12.3,   17.3,    143,     14,      5,     12,     25,     27,     18,     21,     36,     21,      8,      7,.,     88,    108,    28.3,    25.9,    42.5,    38.4,    27.1,    25.7,    41.1,    38.0,"(CONTRACTS OF JPY 12,500,000)","097741","CME ","097 ","F10","Combined"
